seiban,fX,fY,prefectures
ZZ0011：北渡島生コンクリート（株）　八雲工場：BP他社プラント,140.29968,42.24041,01北海道
ZZ0012：本別コンクリート工業（株）：BP他社プラント,143.60873,43.11104,01北海道
ZZ0054：山田産業（株）：BP他社プラント,141.25212,43.04422,01北海道
ZZ0042：（株）エムユー生コン　本社：BP他社プラント,143.84885,43.82027,01北海道
ZZ0043：（株）ｈｏｋｕｂｕ　浜頓別支店・浜頓別工場：BP他社プラント,142.3653,45.13899,01北海道
ZZ0046：（株）安田：BP他社プラント,142.56801,44.92626,01北海道
ZZ0047：（株）タチノ　南帯広工場：BP他社プラント,143.15851,42.81747,01北海道
ZZ0036：（株）コネック滝川　工場：BP他社プラント,141.89177,43.59374,01北海道
ZZ2180：（株）ｈｏｋｕｂｕ　本店・猿払工場：BP他社プラント,142.16086,45.33654,01北海道
ZZ2181：（株）旭ダンケ　士別工場：BP他社プラント,142.40268,44.1485,01北海道
ZZ2182：（株）北海道宇部　札幌工場：BP他社プラント,141.3952,43.07902,01北海道
ZZ2184：北海道太平洋生コン（株）　小樽工場：BP他社プラント,141.0184,43.18697,01北海道
ZZ2185：北海道太平洋生コン（株）　江差工場：BP他社プラント,140.14679,41.91951,01北海道
ZB0138：北海道太平洋生コン（株）　函館工場：BP他社プラント,140.68629,41.82933,01北海道
ZZ2187：北海道太平洋生コン（株）　札幌工場：BP他社プラント,141.38438,43.07021,01北海道
ZZ2188：越智化成（株）　富良野工場：BP他社プラント,142.42856,43.40549,01北海道
ZZ2189：（株）ホッコン　深川工場：BP他社プラント,142.06258,43.70259,01北海道
ZZ2190：（株）ホッコン　留萌工場：BP他社プラント,141.65352,43.95676,01北海道
ZZ2191：（株）ホッコン　北見工場：BP他社プラント,143.65062,44.20536,01北海道
ZZ2192：（株）ホッコン　羽幌工場：BP他社プラント,141.70927,44.37438,01北海道
ZZ2193：（株）ホッコン　三笠工場：BP他社プラント,141.80464,43.23437,01北海道
ZZ2194：三石生コンクリート工業（株）　清畠工場：BP他社プラント,142.23346,42.50196,01北海道
ZZ2195：三ッ輪ベンタス（株）　釧路工場：BP他社プラント,144.32675,43.00941,01北海道
ZZ2197：山一興業（株）　生コンクリート工場：BP他社プラント,142.36073,44.47158,01北海道
ZZ2198：（株）利尻生コン　鬼脇工場：BP他社プラント,141.28934,45.16111,01北海道
ZZ2435：（株）加藤建設工業：BP他社プラント,140.75507,42.89199,01北海道
ZZ2436：北渡島生コンクリート（株）　長万部工場：BP他社プラント,140.37549,42.51422,01北海道
ZZ2438：（株）熊谷孝業所：BP他社プラント,140.68037,41.83042,01北海道
ZZ3641：佐呂間開発工業（株）：BP他社プラント　GrasanManは「SN2266」,143.7645,43.99868,01北海道
ZZ2441：（株）セキホク：BP他社プラント,142.83621,43.84039,01北海道
ZZ2442：太陽生コン（株）月形生コンクリート工業：BP他社プラント,141.67421,43.34122,01北海道
ZZ2914：名寄生コンクリート（株）　天塩川生コンクリート工場：BP他社プラント,142.05333,44.80215,01北海道
SB3237：札幌苗穂工業（株）：ビル式　DASH-Hｙper-275　TRINITY Ultimate　TRIU　DSH-275　NPAS,141.39241,43.07099,01北海道
ZZ0006：北海道デンカ生コンクリート（株）：BP他社プラント,141.2607,43.09834,01北海道
ZZ2200：（株）渡辺興業　遠軽コンクリート豊里工場：BP他社プラント,143.53223,44.02461,01北海道
ZZ2101：會澤高圧コンクリート（株）　様似工場：BP他社プラント,142.98157,42.13189,01北海道
ZZ2102：會澤高圧コンクリート（株）　千歳工場：BP他社プラント,141.67662,42.78717,01北海道
ZZ2103：會澤高圧コンクリート（株）　平取工場：BP他社プラント,142.21582,42.71447,01北海道
ZZ2104：會澤高圧コンクリート（株）　札幌菊水工場：BP他社プラント,141.39703,43.06374,01北海道
ZZ2105：會澤高圧コンクリート（株）　札幌清田工場：BP他社プラント,141.45026,42.99411,01北海道
ZZ2120：越智化成（株）　本社・苫小牧工場：BP他社プラント,141.70445,42.65697,01北海道
ZZ2122：越智化成（株）　伊達工場：BP他社プラント,140.82681,42.48558,01北海道
ZZ2123：越智化成（株）　比布工場：BP他社プラント,142.48637,43.89911,01北海道
ZZ2126：岸本産業（株）　浜益生コンクリート工場：BP他社プラント,141.38882,43.5862,01北海道
ZZ2127：（株）北見宇部　大雪工場：BP他社プラント,143.64679,43.78917,01北海道
ZZ2128：（株）北見宇部　美幌工場：BP他社プラント,144.1218,43.83332,01北海道
ZZ2129：（株）釧路宇部　中標津工場：BP他社プラント,145.02798,43.59074,01北海道
ZZ2130：（株）倶知安コンクリート工業所　旭工場：BP他社プラント,140.71742,42.90494,01北海道
ZZ2131：（株）駒井生コン　工場：BP他社プラント,140.68709,41.8402,01北海道
ZZ2132：（株）サカキ建設工業　御影コンクリート工場：BP他社プラント,142.95366,42.93947,01北海道
ZZ2106：會澤高圧コンクリート（株）　札幌白石工場：BP他社プラント,141.39703,43.06374,01北海道
ZZ2107：會澤高圧コンクリート（株）　苫小牧工場：BP他社プラント,141.63039,42.64409,01北海道
ZZ2108：會澤高圧コンクリート（株）　白老工場：BP他社プラント,141.32841,42.5439,01北海道
ZZ2110：旭川宇部協同生コン（株）　上川工場：BP他社プラント,142.83621,43.84039,01北海道
ZZ2112：厚岸共同生コン（株）：BP他社プラント,144.81686,43.06496,01北海道
ZZ2113：（株）上田商会　後志工場：BP他社プラント,140.70518,42.79726,01北海道
ZZ2163：（株）ニレミックス　千歳工場：BP他社プラント,141.60046,42.84761,01北海道
ZZ2114：浦河生コンクリート（株）　えりも工場：BP他社プラント,143.16452,42.04867,01北海道
ZZ2116：（株）エムユー生コン　網走工場：BP他社プラント,144.08836,44.00067,01北海道
ZZ2117：岡本興業（株）　札幌生コン工場：BP他社プラント,141.35387,43.01127,01北海道
ZZ2119：奥尻コンクリート工業（株）　函館工場：BP他社プラント,140.89375,41.80646,01北海道
ZZ2151：太陽生コン（株）　千歳工場：BP他社プラント,141.60699,42.85592,01北海道
ZZ2152：田村コンクリート（株）　屈足工場：BP他社プラント,142.88789,43.12908,01北海道
ZZ2158：永井工業（株）　中札内工場：BP他社プラント,143.13425,42.70361,01北海道
ZZ2162：（株）ニレミックス　札幌工場：BP他社プラント,141.33662,42.99445,01北海道
ZZ2164：（株）ニレミックス　丘珠工場：BP他社プラント,141.40863,43.12136,01北海道
ZZ2165：（株）ニレミックス　小樽工場：BP他社プラント,141.04425,43.16163,01北海道
ZZ2166：（株）ニレミックス　八雲工場：BP他社プラント,140.26933,42.26817,01北海道
ZB0136：（株）ニレミックス　函館工場：BP他社プラント,140.69566,41.81891,01北海道
ZZ2135：釧白生コン（株）　工場（旧東部開発（株）生コンクリート釧路工場）：BP他社プラント,144.22498,43.00472,01北海道
ZZ2137：太平洋レミコン（株）　網走工場：BP他社プラント,144.30986,43.96095,01北海道
ZZ2138：太平洋建設工業（株）　北見工場：BP他社プラント,143.92387,43.83577,01北海道
ZZ2139：太平洋建設工業（株）　札幌工場：BP他社プラント,141.49222,43.12195,01北海道
ZZ2142：太平洋建設工業（株）　帯広工場：BP他社プラント,143.22333,42.9177,01北海道
ZZ2143：太平洋富士生コン（株）　釧路工場：BP他社プラント,144.32675,43.00941,01北海道
ZZ2144：太平洋富士生コン（株）　別海工場：BP他社プラント,145.13515,43.37989,01北海道
ZZ2147：太平洋レミコン（株）　弟子屈工場：BP他社プラント,144.43985,43.47256,01北海道
ZZ2148：太平洋レミコン（株）　浦幌工場：BP他社プラント,143.60371,42.77452,01北海道
ZZ2173：丹羽商事（株）　稚内工場：BP他社プラント,141.71304,45.37955,01北海道
ZZ2175：（株）ノムラ　生コンクリート工場：BP他社プラント,142.3775,43.68398,01北海道
ZZ2176：藤コンクリート（株）　天塩工場：BP他社プラント,141.75768,44.92402,01北海道
ZZ2177：藤コンクリート（株）　豊富工場：BP他社プラント,141.77751,45.10285,01北海道
ZZ2178：藤コンクリート（株）　礼文工場：BP他社プラント,141.03171,45.33403,01北海道
ZZ2179：藤コンクリート（株）　遠別工場：BP他社プラント,141.79356,44.73249,01北海道
SB2238：（有）田中建材工業：Ｉ－９Ｐ－１５０Ｐ－６Ｔ　ITBF,143.28482,43.2482,01北海道
SB2243：（株）ケイホク　伊達生コンクリート工場：Ⅲ－１０Ｐ－１５０Ｐ－７　ITBR,140.82681,42.48558,01北海道
SB2967：大成工業（株）　ウトロ工場：DASH-167EVO2L-ITB SITB,144.93295,43.97743,01北海道
SB2983：石野コンクリート工業（株）：DASH-167EVOⅡL-ITB　SITB DSH-225,143.22917,42.89723,01北海道
SB2347：（株）旭ダンケ　東鷹栖工場：Ⅲ－１７Ｐ－２５０Ｐ－７Ｔ　TRI,142.42409,43.82167,01北海道
SB2738：（株）旭ダンケ　米里工場：ＳＲＡⅣ－１８αⅡ－３００Ｐ－７Ｔ　TRIU,141.44772,43.08792,01北海道
SB2281：日本興発（株）　壮瞥生コンクリート工場：Ⅲ－１０Ｐ－１５０Ｐ－７Ｔ　ITB,140.88962,42.55123,01北海道
SB2746：旭川アサノコンクリート（株）　旭川工場：ＳＲＡⅣ－１８αⅡ－２５０Ｐ－７　ITBR,142.47591,43.83047,01北海道
SB2194：札幌生コン（株）：RAⅡ-10P-150P　CTF,141.41049,43.12556,01北海道
SN0660：（株）ひまわり：BP他社プラント　TRINITY,142.45299,44.37925,01北海道
SB2654：北海道太平洋生コン（株）　松前工場：ＲＡⅢ－１７ＥＸ－２５０Ｐ－７,140.18085,41.43054,01北海道
SB2655：大野アサノコンクリート（株）　鹿部工場：ＮＲＡⅡ－１０αＶ－１５０Ｐ－７Ｔ　ITBR,140.74037,42.06302,01北海道
SB1315：（株）静内生コン：ＢＰＵ－１５０ＰＢＩＬ　ＩＴＢ　DSH-167　ITBF,142.36859,42.34127,01北海道
SB3264：（株）ケイホク　室蘭生コンクリート工場：DASH-H225EvoⅢ150R-ADV,141.03709,42.34518,01北海道
SN1508：大翔興業（株）：BP他社プラント　200N-167単品,141.52003,42.61238,01北海道
ZZ2153：道南生コン（株）　仁木工場：BP他社プラント,140.74846,43.12564,01北海道
ZZ2155：東洋コンクリート（株）　千歳工場：BP他社プラント,141.67596,42.82118,01北海道
ZZ2156：東洋コンクリート（株）　由仁工場：BP他社プラント,141.78702,42.99265,01北海道
ZZ2157：東洋コンクリート（株）　銭函工場：BP他社プラント,141.17398,43.13832,01北海道
SB2488：共同生コン（株）：ＲＡⅢ－１０ＰＳ－１５０Ｐ－７,143.48624,44.03521,01北海道
ZZ1997：（株）タチノ　大樹工場：BP他社プラント,143.31241,42.47143,01北海道
ZZ1998：大進生コン（株）　鹿追工場：BP他社プラント,142.99751,43.112,01北海道
SN1815：（株）ホッコン　富良野工場：BP他社プラント　it's-B REAL操作盤入替 ITBR,142.3821,43.29025,01北海道
SN-965：赤平開発（株）：ＣＰＦ盤,141.31744,43.19912,01北海道
SN-767：恵庭アサノコンクリート（株）：BP他社プラント　アイシス操作盤,141.5545,42.9021,01北海道
SN-877：（株）奈井江コンドウ生コンクリート：BP他社プラント　ＦＳＦ－２０００,141.88084,43.4091,01北海道
SN1044：（株）美唄コンドウ：BP他社プラント　ＦＳＦ－２０００　（ＩＴＢ）,141.87953,43.34885,01北海道
SN1056：（株）ケイホク　苫小牧生コンクリート工場：BP他社プラント　ミキサ（DSF167）・操作盤入替　ＩＴＢ　ADV,141.64186,42.67009,01北海道
SB2882：旭商事（株）　旭商事生コン：ＤＡＳＨ－１６７Ｂ１－ＩＴＢ　ITBF,141.31012,40.63176,02青森県
