seiban,fX,fY,prefectures
（株）協同開発舗装　アスファルト合材工場,140.31775,40.87615,02青森県
（株）伊藤鉱業,140.31775,40.87615,02青森県
日本道路（株）　青森合材センター,140.50218,40.7789,02青森県
東奥アスコン（株）,140.79625,40.773,02青森県
（株）北斗　上北アスファルト共同プラント,141.18777,40.78476,02青森県
青森アステック共同企業体,140.53113,40.68325,02青森県
むつ舗装（株）,141.1951,41.27928,02青森県
青森共同アスコン共同企業体,140.6915,40.81522,02青森県
新産アスコン企業体,141.2662,40.64009,02青森県
共同企業体エコプラザ八戸,141.4239,40.54417,02青森県
岩手アスコン共同企業体,141.09418,39.83904,03岩手県
北岩手アスコン共同企業体,141.214,40.21945,03岩手県
（株）小山建設　アスファルトプラント,141.28989,38.89474,03岩手県
（株）佐々木組　イーストアスコン,141.1044,38.90526,03岩手県
大成ロテック（株）　盛岡合材工場,141.18062,39.60931,03岩手県
共同企業体　盛岡中央アスコン,141.16624,39.73415,03岩手県
東磐アスコン企業体,141.33159,38.98249,03岩手県
水沢アスコン　（株）NIPPO　水沢合材工場,141.15002,39.16814,03岩手県
（株）NIPPO　紫波合材所,141.17484,39.54173,03岩手県
（株）平野組,141.19902,38.93439,03岩手県
共同企業体　久慈中央アスコン,141.73094,40.14604,03岩手県
共同企業体　久慈中央アスコン,141.72842,40.15539,03岩手県
（株）宮古アスコン,141.94394,39.59352,03岩手県
（株）明和土木,141.6707,39.03375,03岩手県
釜石大槌アスコン共同企業体,141.83052,39.37583,03岩手県
前田道路（株）　一関合材工場,141.11201,38.89155,03岩手県
遠野アスコン　（株）NIPPO　遠野合材工場,141.46654,39.3137,03岩手県
前田道路（株）　盛岡合材工場,141.0181,39.69643,03岩手県
北上アスコン　（株）NIPPO　北上合材工場,141.0661,39.26247,03岩手県
八幡平アスコン,141.01344,39.91862,03岩手県
大船渡アスコン共同企業体,141.73772,39.12047,03岩手県
岩手グリーンアスコン（株）,141.08784,39.70594,03岩手県
共同企業体　アスプラザやまびこ,141.12651,39.44439,03岩手県
三陸アスコン,141.83772,39.95503,03岩手県
三陸りあすアスコン共同企業体,141.9185,39.62585,03岩手県
気仙沼アスコン共同企業体,141.53302,38.91339,04宮城県
鹿島道路（株）　河南合材製造所,141.18619,38.48341,04宮城県
仙北アスコン共同企業体,141.01138,38.40805,04宮城県
仙台泉アスコン共同企業体,140.88068,38.35469,04宮城県
仙台中央アスコン共同企業体,140.95528,38.26859,04宮城県
共同企業体　仙台東アスコン,140.95522,38.25612,04宮城県
日建工業（株）,141.31664,38.71437,04宮城県
