seiban,fX,fY
SA-864：札幌建設管理部　滝川出張所：ＮＩＢ０２ＪＫＷＳ,141.93814,43.56189
SA3026：道央アスコン（株）　滝川合材工場：ＮＡＰ・ＢＤ－１０００ＭＢＶ　ARVO,141.89177,43.59374
SJ0011：極東建設（株）　中空知リサイクルセンター：NP1000D+NRP30CB,141.88429,43.53983
SA-700：富良野アスコン：ＴＳＡＰ－１０００　ARVO,142.35988,43.35201
SA2534：留萌アスコン：ＮＡＰ・ＢＤ－８００ＡＢ ARVO,141.66467,43.95881
SA3049：カムイアスコン：ＮＡＰ・ＢＤ－２０００ＭＢＶ　ARVO,142.47845,43.84078
SA2887：北央道路工業（株）　沼田共同アスコン：ＮＡＰ・ＢＤ－１０００ＭＢＰ　ARVO,141.94144,43.80222
SA2590：道北グリーンアスコン　第2工場：ＮＡＰ・ＢＤ－８００ＡＢｄ,142.38438,43.67924
SA2968：（株）道北鋪道　道北グリーンアスコン：NAP・BD-1000MBV+A・TOP45,142.3821,43.68402
SA2874：三井住建道路（株）　岩見沢アスコン：ＮＡＰ・ＢＤ－１０００ＭＷＦ　EXA,141.79565,43.24153
ZZ0065：植村建設（株）　エルムアスコン：AP他社プラント,142.03755,43.56808
ZZ1957：植村建設（株）　エルムアスコン：AP他社プラント,142.03755,43.56808
SA-865：札幌建設管理部　滝川出張所：ＮＩＢ０２ＪＫＷ－Ｌ０７０１１,142.09303,43.51073
SA-999：日鉄鉱業（株）　東鹿越鉱業所：バーナユニット入替,142.50073,43.14536
SA2895：道路工業（株）　帯広合材工場：ＮＡＰ・ＢＤ－１０００ＭＢＵ　ARVO,143.21294,42.98877
ZZ0061：青木建設（株）：AP他社プラント,143.14992,42.97832
SA-620：前田道路（株）　帯広合材工場：NP1000A+TOP30-10AL　EXA,143.11609,42.93456
SA1437：釧路アスコン：ＮＡＰ－６０２　EXA,144.32378,43.00915
SA3046：丹頂アスコン共同企業体：ＮＡＰ・ＢＤ－１６００ＢＢＶ　ARVO,144.22498,43.00472
SJ0019：陽伸工業（株）　根室グリーンアスコン：NP1000C・CBU15,145.24478,43.26364
SA1652：別海アスコン：ＮＡＰ－１０００ＡＢＵ LETS,145.17949,43.37447
SA2628：北央舗道（株）　中標津アスコン：ＮＡＰ・ＢＤ－１０００ＡＷｄ　LETS,144.95079,43.53175
ZZ1960：鹿島道路（株）　標津合材製造所：AP他社プラント,145.12492,43.60562
ZZ0093：東工業（株）：AP他社プラント,144.47694,42.99966
SA2520：レインボーアスコン：ＮＡＰ・Ｕ－８００ＡＷ LETS,144.47694,42.99966
SJ0018：陽伸工業（株）　釧路合材工場：NP1000CR・CBU15,144.44252,42.99825
SJ0017：（株）ホクエー・ミトミ工業（株）　共同プラント：NRP20CB　NAP・U-800,144.50056,43.08972
SA-639：あすなろ道路（株）　標茶工事事務所：ＮＡＰ・ＢＤ－８００ＡＢＵ,144.58861,43.29739
SA1863：平原アスコン　合材工場：ＮＡＰ－１０００ＡＺＣ,144.90189,43.43186
SA2165：大成ロテック（株）　弟子屈合材工場：ＮＡＰ－１０００ＡＺＣ,144.47195,43.51076
ZZ0007：北洋道路（株）：AP他社プラント,142.92157,43.04937
ZZ0156：共同企業体　十勝アスコン：AP他社プラント,143.22917,42.89723
ZZ0096：東光舗道（株）　帯広アスコン：AP他社プラント,143.22917,42.89723
SJ0038：（株）リサイクルグリーン北海道　帯広合材工場：NP1500C+NRP45CB+HMS200L,143.22917,42.89723
SA2679：はくちょうアスコン　道路建設（株）幕別工場：ＮＡＰ・ＢＤ－８００ＭＷｄ,143.38095,42.90679
SJ0036：東日本冨士新道路（株）　帯広事業所：NP1000A+NRP30CB+NAB3　DUO,143.1777,42.81532
SA2677：北央道路工業（株）　更別合材工場：ＮＡＰ・ＢＤ－１０００ＢＢＰ　EXA,143.24489,42.60642
SJ0035：銀河アスコン：NP800C・CBU15　UA(SA-518),143.55435,43.22281
SA-479：世紀東急工業（株）　豊頃合材工場：ＴＫ－７５０　DUO,143.44337,42.82576
SJ0045：（株）ホクエー：NP800・NRP30CB,143.87329,43.8362
SA2626：美幌アスコン共同企業体：ＮＡＰ・ＢＤ－１０００ＡＢＰ　ARVO,144.12756,43.80744
SA8026：（株）常呂町産業振興公社：ATOM-500ドライヤユニット,144.0063,44.11014
SJ0051：（株）紋別砕石舗道　紋別工場：NP1000A+NRP45CB　DUO,143.33952,44.32623
SJ0060：（株）道北鋪道　士別合材工場：NP1000C・NRP30CB,142.39362,44.20551
SJ0046：北海舗道（株）：NP1000C・CBU15,142.43604,44.40908
SA-870：稚内市役所：NSJ02JKWT-M06003,141.67509,45.4169
SA3507：（株）利尻生コン　利尻合材工場：BD-800ABA+NRK-15AF ARVO,141.28934,45.16111
ZZ1966：北都道路（株）　礼文事務所：AP他社プラント,141.00156,45.39164
SA2455：（株）山崎組：ＮＡＰ・Ｕ－８００ＡＷ LETS,142.36073,44.47158
SA2109：大成ロテック（株）　遠別合材工場：ＮＡＰ・ＢＤ－１０００ＢＢＵ,141.79356,44.73249
SA2717：北新道路（株）：NAP・BD-1000ABP　ARVO,141.77751,45.10285
SA-617：南宗谷アスコン：IAP-801(石黒800/B)　LETS,142.36572,45.13618
SA2905：北見アスコン：ＮＡＰ・ＢＤ－１０００ＡＷ LETS　ARVO,143.81758,43.81745
ZZ1959：河西建設（株）　アスファルトプラント：AP他社プラント,143.97736,43.92482
SJ0003：（株）円輪建設　端野合材工場：NP1000CR+NRP30CB+HMS200L,144.01901,43.89952
SJ0048：道路建設 （株）　網走アスファルト混合所：NP1000C・NRP30CB,144.19865,43.94392
SJ0047：（株）早水組：NP1000B・NRP20CB,144.2083,43.9539
SA-956：知床アスコン：田中製AP　操作盤入替　LETS,144.68884,43.85254
SA2631：三井住建道路（株）　オホーツクアスコン：ＮＡＰ・ＢＤ－８００ＢＷｄ　ARVO,143.3172,44.35839
SA2625：遠軽舗道（株）：ＮＡＰ・ＢＤ－１０００ＭＷＰ　EXA,143.51283,44.09861
SA3396：千葉りんかいアスコン：ABD-1600MBN TOPα60-50AE 260型合材サイロ　ARVO,140.11761,35.55189
SA-806：千葉アスコン：ＮＲ３０００ＣＲ　　(SJ0165),140.13806,35.65583
SA1820：前田道路（株）　千葉合材工場：NAP-3000AZB　EXA,140.13878,35.65785
SJ0160：千葉共同アスコン：NP1500C＋NRP60CB＋コンパクト脱臭＋HMS240L(SA-807)　DUO,140.06128,35.81944
SJ0164：（株）NIPPO　松戸合材センター：ＨＭＳ２００Ｌ－Ｓ,139.95207,35.77158
SJ0385：（株）NIPPO　主水合材センター：ＨＭＳ９０Ｌ－Ｓ,139.89496,35.81932
DM1039：（株）サンドテクノ　市川合材センター：ＮＲＰ－６０ EXARP,139.93143,35.67315
SA2774：（株）サンドテクノ　市川合材センター：ＮＡＰ・ＢＤ－２０００ＡＢＰ　EXA,139.93143,35.67315
SA3505：前田道路（株）　船橋合材工場：ABD-1600CBA+TOPα60-50AL+AZU-220　ARVO,139.96696,35.68609
SA3404：（株）京葉アスコン：ABD-2000MB+AZU-520,139.96619,35.68235
DM1064：（株）京葉アスコン：NRP100-60AE,139.96619,35.68235
SJ0166：東瀝青建設（株）　船橋工場：NP-1000C+NRP-45+HMS120,140.06453,35.70872
SA3225：前田道路（株）　総武合材工場：NAP・ABD-1600CBN+NRU60-100　NEXT,140.07686,35.78042
SA-848：トーセキアスコン：ＴＡＰ－１５２５Ｅ（田中製）　APⅡ,140.01076,35.83095
SA2602：（株）ガイアート　野田合材工場：BD-1000AB→TAP-1500+TOP45-30ADF+AZU-220　NEXT,139.88441,35.97826
ZZ0607：東金アスコン：AP他社プラント,140.31064,35.57461
SA3587：世紀東急工業（株）　佐倉混合所：ABD-1600MBA＋AZU280　ARVO,140.22362,35.69106
DM1065：世紀東急工業（株）　佐倉混合所：NRPα60-80AE,140.22362,35.69106
ST2040：成田国際空港（株）：ＴＳＴＭ－３００,140.38603,35.77369
SA2568：鹿島道路（株）　成田合材製造所：BD-2000ABL　NEXT,140.33939,35.78285
SA3381：大成ロテック（株）　首都圏中央連絡道成田舗装工事プラント：NAP・BD-3000ABN　DUO,140.35526,35.81454
SA3415：共同企業体成田アスコン：NAP・ABD-2000CBN+NRUα90-100AF+260型合材サイロ ARVO,140.39526,35.82013
SJ0162：東総アスコン：NP-2000BR+HMS200　NRUα80,140.56876,35.85982
SA2599：東総アスコン干潟サテライトセンター：合材サイロ（１００＋１２０Ｌ）　クラッシャＫＡＰ（SA2599H）,140.61592,35.77428
ST2039：東総アスコン干潟サテライトセンター：TSTM-100,140.61592,35.77428
SA-893：大同産業（株）・前田道路（株）　八街合材センター：17t小型サテライトサイロ,140.30916,35.63427
TA0014：太陽建設（株） 市原支店・市原エコセンター：AP他社プラント,140.10924,35.5349
SA3459：前田道路（株）　市原合材工場：ABD-1600CBA+TOPα45-50AL+AZU-220 ARVO,140.12016,35.54932
ZA0017：（有）總和建材：他社砂ドライヤ,139.95654,35.3667
SA3580：前田道路（株）　木更津合材工場：ABD-1000MBN+TOPα45-30AF+AZU-200　DUO,139.98936,35.33998
ST2012：日本道路（株）・東亜道路工業（株）共同企業体：ＴＳＴＭ－３００,139.89856,35.36811
SJ0171：南総共同アスコン：ＮＰ２０００ＢＲ,139.90591,35.27262
SJ0159：南総共同アスコン　館山合材センター：ＨＭＳ９０Ｌ－Ｓ,139.89764,35.01691
SA-852：前田道路（株）　鴨川サテライト：小型サテライト（２０＋２０）,140.09004,35.11972
SJ0172：東金アスコン：HMS９L-Sサテライト合材サイロ,140.31064,35.57461
SA2816：太陽建設（株）　ながら合材センター：BD-1600MBP　ARVO,140.20845,35.4349
SA2875：大成ロテック（株）　房総合材工場：FBD-1600MB+α60-60ADF+260型合材サイロ　EXA,140.18961,35.45545
SJ0169：袖ヶ浦アスコン（株）：NP-2000C+NRP-60+220田中製サイロ　他社製操作盤(メックス),139.95242,35.44614
ZZ0949：大有建設（株）　東部リサイクル センター：AP他社プラント,138.88074,35.17978
ST2046：鹿島道路（株）：特ＴＳＴＭ－３００,138.94203,35.35515
SA3294：大林道路（株）・（株）佐藤渡辺ＪＶ新東名谷ケ山～新御殿場ＩＣ間　仮設プラント：NAP・ABD-3000ABN　DUO,138.9256,35.36009
SA3533：昭和舗道（株）：ABD-1000MBN+TOPα45-30ADF+HMS-120　DUO,138.95247,35.00731
SA2759：花菱建設（株）　松崎工場：Ａ・ＴＯＭ－６００ＡＢｄ　DUO,138.79874,34.76051
SA2762：山旺建設工業（株）：ＮＡＰ・ＢＤ－１６００ＭＢＰ　EXA,138.88692,35.09661
SJ0403：（株）NIPPO・フジタ道路（株）JV：ドラム式ソイルプラントNDM600　スラストローラ改造（設計のみ）,138.93674,35.23721
SJ0255：（株）リサイクル御殿場：ＮＰ１５００Ｃ－ＮＲＰ４５ＣＢ,138.90897,35.26958
SA2712：菅原建設（株）　アスファルトプラント工場：ＮＡＰ・ＢＤ－８００ＡＢＰ　ARVO,139.08929,35.02336
ZZ2080：（株）海野建設：AP他社プラント,139.08345,34.92998
SJ0254：丸三工業（株）　下田アスファルトプラント：ＮＰ６００Ｂ,138.93404,34.68124
SA2881：日本道路（株）　静岡合材センター：NAP・BD-1600MBF,138.64612,35.12601
SA1453：前田道路（株）　富士合材工場：ＮＡＰ－６０２ＡＺＢ,138.71489,35.14763
ZZ2079：前田道路（株）　富士合材工場：AP他社プラント,138.71489,35.14763
SJ0262：（株）リサイクル芝川：ＮＰ２０００Ｃ,138.54912,35.2142
SA2793：大林道路（株）　静岡アスファルト混合所：ＮＡＰ・ＢＤ－１６００ＭＢＰ　EXA,138.39037,35.01842
SA3196：ＴＯＲＥＫＩ・ＮＩＰＰＯ　ＪＶ：NAP・ABD-1600MBN+220形合材,138.38553,34.93409
SA3542：共同企業体　静岡つばさアスコン　合材工場：ABD-1600CBN+TOPα45-30AL+AZU-100 EXA,138.28645,34.90392
SJ0257：東海瀝青工業（株）　清水サテライト：ＨＭＳ100ＬＳ（サテライト）,138.44267,35.01901
SA2678：セイエン商事（株）　木内アスコン藤枝工場：NAP・BD-1000MBP　AUTOPYRO,138.26984,34.86318
SA2722：共同企業体　静岡リサイクルセンター：ＮＡＰ・ＢＤ－１６００ＭＢＰ　NEXT,138.13261,34.84382
SA2779：湖西アスコン共同企業体：ＮＡＰ・ＢＤ－１６００ＭＢＰ　EXA,137.49184,34.69374
SA3080：西部合材リサイクルセンター協同組合：ＮＡＰ-ＡＢＰ-1600ＭＢN＋ＮＲＵ60　NEXT,137.67619,34.75172
SA-584：共同企業体　協和アスコン：NP1500B　NRU45 DUO,137.69658,34.80364
SA2608：西遠アスコン　（大林道路（株））：ＮＡＰ・ＢＤ－１０００ＡＢＰ　NEOS,137.72694,34.82289
SA2061：浜松中央アスコン　前田工場：NAP-1202AZ(B)本体+260合材サイロ、他田中製,137.80873,34.75362
SJ0260：浜松中央アスコン　西遠工場：NP1000DMD→HMS70L　サテライト合材サイロ(200701)？,137.68678,34.67152
SJ0261：天竜川砂利プラント（協）　アスファルト合材工場：ＮＰ１５００Ａ　DUO,137.81754,34.79202
SA2813：（共）掛川アスコン：ＮＡＰ・ＢＤ－１０００Ｍ（Ｂ）Ｆ ARVO,138.05019,34.74995
SA3253：中遠アスコン（株）：ＮＡＰ・ＢＤ－１０００ＭＢＮ,137.98993,34.75623
SA2900：浜岡アスコン共同企業体：ＮＡＰ・ＦＢＤ－２０００ＡＢＶ　EXA,138.16072,34.65317
SA2653：磐田瀝青舗材共同企業体：ＮＡＰ・ＢＤ－１６００ＭＢＰ　NEXT,137.86902,34.74217
SA3674：磐田瀝青舗材共同企業体：VPⅣ-6020＋AZU220,137.86902,34.74217
